index,word,stem,suffix,frequency,frequency_in_a_million
450,wildman,wild,man,60,0.1610968180196779
451,flagman,flag,man,60,0.1610968180196779
452,cullman,cull,man,59,0.15841187105268326
453,stableman,stable,man,59,0.15841187105268326
454,vanderman,vander,man,59,0.15841187105268326
455,penniman,penni,man,59,0.15841187105268326
456,hayman,hay,man,59,0.15841187105268326
457,zalman,zal,man,59,0.15841187105268326
458,weitzman,weitz,man,59,0.15841187105268326
459,norseman,norse,man,58,0.1557269240856886
460,baughman,baugh,man,58,0.1557269240856886
461,winterman,winter,man,58,0.1557269240856886
462,railwayman,railway,man,58,0.1557269240856886
463,grosman,gros,man,58,0.1557269240856886
464,sideman,side,man,57,0.15304197711869402
465,ironman,iron,man,57,0.15304197711869402
466,northman,north,man,57,0.15304197711869402
467,weisman,weis,man,56,0.15035703015169938
468,andaman,anda,man,56,0.15035703015169938
469,sussman,suss,man,56,0.15035703015169938
470,hofman,hof,man,55,0.14767208318470473
471,hochman,hoch,man,55,0.14767208318470473
472,lakshman,laksh,man,55,0.14767208318470473
473,blindman,blind,man,54,0.14498713621771012
474,wakeman,wake,man,54,0.14498713621771012
475,needlewoman,needle,woman,54,0.14498713621771012
476,ponniman,ponni,man,54,0.14498713621771012
477,shuman,shu,man,53,0.14230218925071547
478,liveryman,livery,man,53,0.14230218925071547
479,bagman,bag,man,53,0.14230218925071547
480,clurman,clur,man,53,0.14230218925071547
481,housman,hous,man,53,0.14230218925071547
482,weissman,weiss,man,53,0.14230218925071547
483,boman,bo,man,53,0.14230218925071547
484,bridgeman,bridge,man,52,0.13961724228372083
485,honnyman,honny,man,52,0.13961724228372083
486,plainclothesman,plainclothes,man,52,0.13961724228372083
487,hanuman,hanu,man,52,0.13961724228372083
488,vardaman,varda,man,52,0.13961724228372083
489,switchman,switch,man,52,0.13961724228372083
490,behrman,behr,man,52,0.13961724228372083
491,yardman,yard,man,51,0.1369322953167262
492,biederman,bieder,man,51,0.1369322953167262
493,tallman,tall,man,51,0.1369322953167262
494,lorman,lor,man,51,0.1369322953167262
495,flixman,flix,man,51,0.1369322953167262
496,schulman,schul,man,51,0.1369322953167262
497,taubman,taub,man,51,0.1369322953167262
498,dolman,dol,man,50,0.1342473483497316
499,holzman,holz,man,50,0.1342473483497316
500,weightman,weight,man,50,0.1342473483497316
501,tuchman,tuch,man,50,0.1342473483497316
502,axeman,axe,man,50,0.1342473483497316
503,buchman,buch,man,49,0.13156240138273695
504,woolman,wool,man,49,0.13156240138273695
505,privateersman,privateers,man,49,0.13156240138273695
506,junkman,junk,man,49,0.13156240138273695
507,burlman,burl,man,49,0.13156240138273695
508,quarryman,quarry,man,49,0.13156240138273695
509,gillman,gill,man,49,0.13156240138273695
510,cornishman,cornish,man,48,0.12887745441574233
511,nieman,nie,man,48,0.12887745441574233
512,loman,lo,man,48,0.12887745441574233
513,engineman,engine,man,48,0.12887745441574233
514,tishman,tish,man,48,0.12887745441574233
515,noblewoman,noble,woman,48,0.12887745441574233
